(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Standard (12709 verts): 
		Capsule (1) (550 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Sphere (1) (515 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		Sphere (515 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		ROV Point 4 (515 verts)	-1	False	False	True	1	[indic (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		Capsule (2) (550 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		ROV Point 3 (515 verts)	-1	False	False	True	1	[indic (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		Capsule (3) (550 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		ROV Point 2 (515 verts)	-1	False	False	True	1	[indic (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		10346135 - HYDR RIMS, LTPC 14W 12PRD.078 (5643 verts)	-1	False	False	True	1	[_0068_LightGreen (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		ROV Point 1 (515 verts)	-1	False	False	True	1	[indic (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		Capsule (2) (550 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Capsule (1) (550 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Capsule (550 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Capsule (550 verts)	-1	False	False	True	1	[Default-Material (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
